num_load_level;;;;;;;;;;;;
1;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
27;3;2018;0.9778;0.9924;1;1;1.1203;0.8759;1;0.9385;0.9482;1.2362
28;4;2018;0.9785;0.9926;1;1;1.1161;0.8792;1;0.9365;0.9498;1.2272
29;5;2018;0.9784;0.9926;1;1;1.1168;0.8787;1;0.9168;0.9495;1.2287
30;6;2018;0.9773;0.9922;1;1;1.1233;0.8734;1;0.9258;0.9471;1.2427
31;7;2018;0.9778;0.9924;1;1;1.1203;0.8759;1;0.9279;0.9482;1.2362
32;8;2018;0.9773;0.9922;1;1;1.1238;0.8731;1;0.9305;0.947;1.2437
33;9;2018;0.9785;0.9926;1;1;1.1161;0.8792;1;0.9385;0.9498;1.2272
34;10;2018;0.9778;0.9924;1;1;1.1205;0.8757;1;0.9358;0.9482;1.2365
35;11;2018;0.9785;0.9926;1;1;1.1161;0.8792;1;0.9479;0.9498;1.2272
36;12;2018;0.8672;0.9926;1;1;1.1168;0.8787;1;0.9517;0.9495;1.2287
37;1;2019;0.8644;0.9924;1;1;1.1203;0.8759;1;0.9424;0.9482;1.2362
38;2;2019;0.8627;0.9923;1;1;1.1224;0.8742;1;0.9476;0.9475;1.2407
39;3;2019;0.8672;0.9926;1;1;1.1168;0.8787;1;0.9407;0.9495;1.2287
40;4;2019;0.8649;0.9924;1;1;1.1197;0.8763;1;0.9354;0.9485;1.2349
41;5;2019;0.8644;0.9924;1;1;1.1203;0.8759;1;0.9154;0.9482;1.2362
42;6;2019;0.8678;0.9926;1;1;1.1161;0.8792;1;0.9304;0.9498;1.2272
43;7;2019;0.8616;0.9922;1;1;1.1238;0.8731;1;0.9268;0.947;1.2437
44;8;2019;0.8616;0.9922;1;1;1.1238;0.8731;1;0.9311;0.947;1.2437
45;9;2019;0.8678;0.9926;1;1;1.1161;0.8792;1;0.939;0.9498;1.2272
